[1828] Tobacco Offer help: O1 Support for treatment of tobacco dependence / Availability of smoking cessati | pub=WHO | desc: Tobacco Offer help: O1 Support for treatment of tobacco dependence / Availability of smoking cessation support | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1829] Population pushed further below the $3.20 a day poverty line by household health expenditures (%, na | pub=WHO | desc: Population pushed further below the $3.20 a day poverty line by household health expenditures (%, national, rural, urban) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1830] Persons on chronic hepatitis B (HBV) treatment (number) | pub=WHO | desc: Persons on chronic hepatitis B (HBV) treatment (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1831] Percentage of TB-affected households facing costs >20% of household income or expenditure due to DR- | pub=WHO | desc: Percentage of TB-affected households facing costs >20% of household income or expenditure due to DR-TB. | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1832] Existence of a multi-stakeholder mechanism on health and climate change | pub=WHO | desc: Existence of a multi-stakeholder mechanism on health and climate change | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1833] Population with primary reliance on polluting fuels and technologies for cooking (in millions) | pub=WHO | desc: Population with primary reliance on polluting fuels and technologies for cooking (in millions) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1834] Dental prosthetic technicians (per 10 000 population) | pub=WHO | desc: Dental prosthetic technicians (per 10 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1835] Alcohol-attributable all-cause deaths per 100,000, age standardized | pub=WHO | desc: Alcohol-attributable all-cause deaths per 100,000, age standardized | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1836] Population with access to an insecticide-treated bed net (ITN) for malaria protection (%), modelled | pub=WHO | desc: Population with access to an insecticide-treated bed net (ITN) for malaria protection (%), modelled | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1837] Prevalence of current smokeless tobacco use among adults (%) | pub=WHO | desc: Prevalence of current smokeless tobacco use among adults (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1838] Subnational bans on tobacco advertising, promotion and sponsorship authority exists | pub=WHO | desc: Subnational bans on tobacco advertising, promotion and sponsorship authority exists | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1839] Tobacco tax structure: Price gap decreased over the last two years (cheapest brand of cigarettes ver | pub=WHO | desc: Tobacco tax structure: Price gap decreased over the last two years (cheapest brand of cigarettes versus the premium brand) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1840] Hypertension: diagnosis coverage among adults aged 30-79 with hypertension, age-standardized (%) | pub=WHO | desc: Hypertension: diagnosis coverage among adults aged 30-79 with hypertension, age-standardized (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1841] In-prison people who drink/drank alcohol (number of prisoners, in the last 12 months) | pub=WHO | desc: In-prison people who drink/drank alcohol (number of prisoners, in the last 12 months) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1842] Existence of evidence-based national guidelines/protocols/standards for the management of tobacco de | pub=WHO | desc: Existence of evidence-based national guidelines/protocols/standards for the management of tobacco dependence | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1843] If tiered on the beverage, the tiers are alcohol-based | pub=WHO | desc: If tiered on the beverage, the tiers are alcohol-based | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1844] Illnesses caused by hazards, aged less than 5 years | pub=WHO | desc: Illnesses caused by hazards, aged less than 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1845] Tobacco MPOWER Protect people: P1 smoke-free places (national legislation) | pub=WHO | desc: Tobacco MPOWER Protect people: P1 smoke-free places (national legislation) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1846] Prevalence of daily smokeless tobacco use among adolescents (%) | pub=WHO | desc: Prevalence of daily smokeless tobacco use among adolescents (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
