[1427] Other smoked tobacco packaging and labelling must display qualitative information on constituents an | pub=WHO | desc: Other smoked tobacco packaging and labelling must display qualitative information on constituents and emissions on one or more of the principal display areas | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1428] Other smoked tobacco packaging and labelling must not display expiry dates | pub=WHO | desc: Other smoked tobacco packaging and labelling must not display expiry dates | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1429] 15-years old first drink at 13 years or younger, (%) | pub=WHO | desc: 15-years old first drink at 13 years or younger, (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1430] 15-years old any alcoholic beverage consumed in past 30 days, (%) | pub=WHO | desc: 15-years old any alcoholic beverage consumed in past 30 days, (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1431] 15-years old any alcoholic beverage consumed in past 30 days, (%) | pub=WHO | desc: 15-years old any alcoholic beverage consumed in past 30 days, (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1432] Average of 13 International Health Regulations core capacity scores | pub=WHO | desc: Average of 13 International Health Regulations core capacity scores | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1433] Reported number of people requiring interventions against NTDs | pub=WHO | desc: Reported number of people requiring interventions against NTDs | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1434] Total net official development assistance to medical research and basic health sectors per capita (c | pub=WHO | desc: Total net official development assistance to medical research and basic health sectors per capita (constant 2014 US$), by recipient | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1435] Alcohol-related road traffic crashes with fatalities, per 100,000  population | pub=WHO | desc: Alcohol-related road traffic crashes with fatalities, per 100,000  population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1436] Alcohol-related road traffic crashes with fatalities, per 100,000  population | pub=WHO | desc: Alcohol-related road traffic crashes with fatalities, per 100,000  population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1437] National legislation to prevent illegal alcohol sales | pub=WHO | desc: National legislation to prevent illegal alcohol sales | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1438] Licensing required for wholesale/distribution of alcoholic beverages | pub=WHO | desc: Licensing required for wholesale/distribution of alcoholic beverages | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1439] Plain packaging of cigarettes is mandatory (ie. the use of logos colours brand images or promotional | pub=WHO | desc: Plain packaging of cigarettes is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour an | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1440] Percentage of principal display area mandated to be covered by health warnings - back of smokeless t | pub=WHO | desc: Percentage of principal display area mandated to be covered by health warnings - back of smokeless tobacco packaging | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1441] Health warnings on other smoked tobacco packaging must be placed at the top of the principal display | pub=WHO | desc: Health warnings on other smoked tobacco packaging must be placed at the top of the principal display areas of the package | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1442] Health warnings on smokeless tobacco packaging must be placed at the top of the principal display ar | pub=WHO | desc: Health warnings on smokeless tobacco packaging must be placed at the top of the principal display areas of the package | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1443] Does the law mandate font style, font size and colour of health warnings on cigarette packaging? | pub=WHO | desc: Does the law mandate font style, font size and colour of health warnings on cigarette packaging? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1444] Heavy episodic drinking (youth 15 -19 years), drinkers only, past 30 days (%) | pub=WHO | desc: Heavy episodic drinking (youth 15 -19 years), drinkers only, past 30 days (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1445] Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI | pub=WHO | desc: Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1446] Regional prevalence, AAFs (15+), liver cirrhosis deaths (%) | pub=WHO | desc: Regional prevalence, AAFs (15+), liver cirrhosis deaths (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1447] Births attended by skilled health personnel (in the two or three years preceding the survey) (%) | pub=WHO | desc: Births attended by skilled health personnel (in the two or three years preceding the survey) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1448] Number of diarrhoea DALYs from inadequate sanitation | pub=WHO | desc: Number of diarrhoea DALYs from inadequate sanitation | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1449] Population with basic handwashing facilities at home (%) | pub=WHO | desc: Population with basic handwashing facilities at home (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1450] Number of deaths attributed to non-communicable diseases, by type of disease and sex | pub=WHO | desc: Number of deaths attributed to non-communicable diseases, by type of disease and sex | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1451] Other smoked tobacco packaging and labelling must not use descriptors depicting flavours | pub=WHO | desc: Other smoked tobacco packaging and labelling must not use descriptors depicting flavours | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1452] Smokeless tobacco packaging and labelling must not display quantitative information on emission yiel | pub=WHO | desc: Smokeless tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine and carbon monoxide) including when used as part of a brand name or tradema | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1453] Smokeless tobacco packaging and labelling must display qualitative information on constituents and e | pub=WHO | desc: Smokeless tobacco packaging and labelling must display qualitative information on constituents and emissions on one or more of the principal display areas | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1454] 15-years old any alcoholic beverage consumed in past 12 months, (%) | pub=WHO | desc: 15-years old any alcoholic beverage consumed in past 12 months, (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1455] Plain packaging of smokeless tobacco products is mandatory (ie. the use of logos colours brand image | pub=WHO | desc: Plain packaging of smokeless tobacco products is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a st | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1456] The sale of all smokeless tobacco products is completely banned | pub=WHO | desc: The sale of all smokeless tobacco products is completely banned | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
