[2029] Prevalence of active syphilis in 15-49 year olds (%) | pub=WHO | desc: Prevalence of active syphilis in 15-49 year olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2030] The number of people with susceptibility test result for rifampicin among bacteriologically confirme | pub=WHO | desc: The number of people with susceptibility test result for rifampicin among bacteriologically confirmed pulmonary TB patients. | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2031] Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition | pub=WHO | desc: Average of 13 International Health Regulations core capacity scores, SPAR version, 1st edition | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2032] Tobacco MPOWER: National tobacco control programmes (NTCP) | pub=WHO | desc: Tobacco MPOWER: National tobacco control programmes (NTCP) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2033] Polio immunization coverage among one-year-olds (%) | pub=WHO | desc: Polio immunization coverage among one-year-olds (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2034] Alcohol-attributable all-cause deaths (all ages), (number) | pub=WHO | desc: Alcohol-attributable all-cause deaths (all ages), (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2035] Best-practice policy implemented for industrially produced trans-fatty acids (TFA) (Y/N) | pub=WHO | desc: Best-practice policy implemented for industrially produced trans-fatty acids (TFA) (Y/N) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2036] Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type ( | pub=WHO | desc: Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2037] Compliance with ban on use of brand name of non-tobacco product for tobacco product (score) | pub=WHO | desc: Compliance with ban on use of brand name of non-tobacco product for tobacco product (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2038] Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%) | pub=WHO | desc: Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2039] Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median | pub=WHO | desc: Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (age-standardized estimate) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2040] Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median | pub=WHO | desc: Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2041] General availability of ACE inhibitors in the public health sector | pub=WHO | desc: General availability of ACE inhibitors in the public health sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2042] General availability of beta blockers in the public health sector | pub=WHO | desc: General availability of beta blockers in the public health sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2043] General availability of colon cancer screening at the primary health care level | pub=WHO | desc: General availability of colon cancer screening at the primary health care level | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2044] General availability of diabetes testing (by blood glucose measurement, OGTT, or HbA1c) at the prima | pub=WHO | desc: General availability of diabetes testing (by blood glucose measurement, OGTT, or HbA1c) at the primary health care level | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2045] Existence of operational policy/strategy/action plan for diabetes | pub=WHO | desc: Existence of operational policy/strategy/action plan for diabetes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2046] General availability of metformin in the public health sector | pub=WHO | desc: General availability of metformin in the public health sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2047] Existence of any policies on marketing of foods to children | pub=WHO | desc: Existence of any policies on marketing of foods to children | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2048] Existence of operational policy/strategy/action plan to reduce physical inactivity | pub=WHO | desc: Existence of operational policy/strategy/action plan to reduce physical inactivity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2049] General availability of renal replacement by transplantation in the public health system | pub=WHO | desc: General availability of renal replacement by transplantation in the public health system | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2050] Existence of national policies on saturated fatty acids / trans-fats | pub=WHO | desc: Existence of national policies on saturated fatty acids / trans-fats | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2051] Provision for care of acute stroke and rehabilitation in more than 50% of public sector health facil | pub=WHO | desc: Provision for care of acute stroke and rehabilitation in more than 50% of public sector health facilities | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2052] Mean fasting blood glucose (mmol/l) (crude estimate) | pub=WHO | desc: Mean fasting blood glucose (mmol/l) (crude estimate) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2053] Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate) | pub=WHO | desc: Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2054] Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) | pub=WHO | desc: Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2055] General government expenditure on health as percentage of gross domestic product | pub=WHO | desc: General government expenditure on health as percentage of gross domestic product | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2056] Out-of-Pocket expenditure on health as percentage of total health expenditure?? | pub=WHO | desc: Out-of-Pocket expenditure on health as percentage of total health expenditure?? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2057] Prepaid plans as percentage of total health expenditure? | pub=WHO | desc: Prepaid plans as percentage of total health expenditure? | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2058] Number of full-time equivalent staff in national agency | pub=WHO | desc: Number of full-time equivalent staff in national agency | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2059] Number of cases of cutaneous leishmaniasis reported | pub=WHO | desc: Number of cases of cutaneous leishmaniasis reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2060] Care-seeking by type of patient and source of care (%) | pub=WHO | desc: Care-seeking by type of patient and source of care (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2061] Average daily intake in grams of alcohol, population (15+) | pub=WHO | desc: Average daily intake in grams of alcohol, population (15+) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2062] Contact coverage of treatment services for substance use disorders (%) | pub=WHO | desc: Contact coverage of treatment services for substance use disorders (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2063] In-prison cardiovascular disease diagnosis (number of diagnoses) | pub=WHO | desc: In-prison cardiovascular disease diagnosis (number of diagnoses) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2064] Hepatitis B surface antigen (HBsAG) carriers (per 100 000 population) | pub=WHO | desc: Hepatitis B surface antigen (HBsAG) carriers (per 100 000 population) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2065] Chronic hepatitis C (HCV) diagnosis coverage as percentage of total HCV infected, including cured (% | pub=WHO | desc: Chronic hepatitis C (HCV) diagnosis coverage as percentage of total HCV infected, including cured (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2066] Existence of national guidelines for physical activity for older adults | pub=WHO | desc: Existence of national guidelines for physical activity for older adults | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2067] Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions) | pub=WHO | desc: Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2068] Substance use disorders service coverage, medicine registered in the country | pub=WHO | desc: Substance use disorders service coverage, medicine registered in the country | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2069] Has conducted a recent, national adult risk factor survey covering physical inactivity | pub=WHO | desc: Has conducted a recent, national adult risk factor survey covering physical inactivity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2070] Tobacco Raise taxes:  Reported use of earmarked tobacco taxes | pub=WHO | desc: Tobacco Raise taxes:  Reported use of earmarked tobacco taxes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2071] Existence of policy promoting physical activity: walking and cycling | pub=WHO | desc: Existence of policy promoting physical activity: walking and cycling | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2072] Prevalence of bacteriologically-confirmed pulmonary TB who are smear positive among those aged ≥15 y | pub=WHO | desc: Prevalence of bacteriologically-confirmed pulmonary TB who are smear positive among those aged ≥15 years, per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2073] Tobacco MPOWER Protect people: P2 smoke-free places, additional characteristics | pub=WHO | desc: Tobacco MPOWER Protect people: P2 smoke-free places, additional characteristics | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2074] Reported cases of urethral discharge among men (number) | pub=WHO | desc: Reported cases of urethral discharge among men (number) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2075] Foodborne disability-adjusted life years per 100 000, aged less than 5 years | pub=WHO | desc: Foodborne disability-adjusted life years per 100 000, aged less than 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2076] In-prison mental disorder diagnosis (number of diagnoses) | pub=WHO | desc: In-prison mental disorder diagnosis (number of diagnoses) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2077] Prevalence of untreated caries of permanent teeth in people 5+ years (%) | pub=WHO | desc: Prevalence of untreated caries of permanent teeth in people 5+ years (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2078] Estimated malaria incidence (per 1000 population at risk) | pub=WHO | desc: Estimated malaria incidence (per 1000 population at risk) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2079] Substance use disorders service coverage, information on governmental expenditures | pub=WHO | desc: Substance use disorders service coverage, information on governmental expenditures | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2080] Population pushed further below the $3.65 a day poverty line by household health expenditures (%, na | pub=WHO | desc: Population pushed further below the $3.65 a day poverty line by household health expenditures (%, national, rural, urban) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2081] Ambient air pollution attributable DALYs in children under 15 years | pub=WHO | desc: Ambient air pollution attributable DALYs in children under 15 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2082] GDP per capita to purchase a volume of beverage (%) | pub=WHO | desc: GDP per capita to purchase a volume of beverage (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2083] In-prison Hepatitis B diagnosis (number of diagnoses) | pub=WHO | desc: In-prison Hepatitis B diagnosis (number of diagnoses) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[2084] Most recent survey among adults was representative of the national population | pub=WHO | desc: Most recent survey among adults was representative of the national population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
