[829] Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population | pub=WHO | desc: Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[830] Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population | pub=WHO | desc: Road traffic crash deaths, age-standardized death rates (15+), per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[831] Alcohol use disorders (15+), 12 month prevalence (%) with 95% | pub=WHO | desc: Alcohol use disorders (15+), 12 month prevalence (%) with 95% | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[832] Alcohol use disorders (15+), 12 month prevalence (%) with 95% | pub=WHO | desc: Alcohol use disorders (15+), 12 month prevalence (%) with 95% | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[833] Cautions and arrests for drink-driving, per 100,000 population | pub=WHO | desc: Cautions and arrests for drink-driving, per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[834] Treatment admissions (inpatient), alcoholic psychosis, per 100,000 | pub=WHO | desc: Treatment admissions (inpatient), alcoholic psychosis, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[835] Alcohol-related road traffic crashes, per 100,000 population | pub=WHO | desc: Alcohol-related road traffic crashes, per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[836] Age-standardized DALYs, mouth and oropharynx cancer, per 100,000 | pub=WHO | desc: Age-standardized DALYs, mouth and oropharynx cancer, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[837] Age-standardized death rates, oesophagus cancer, per 100,000 | pub=WHO | desc: Age-standardized death rates, oesophagus cancer, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[838] Antenatal care attendees positive for syphilis who received treatment (%), reported | pub=WHO | desc: Antenatal care attendees positive for syphilis who received treatment (%), reported | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
