[1629] Neonatal mortality rate (deaths per 1000 live births) | pub=WHO | desc: Neonatal mortality rate (deaths per 1000 live births) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1630] In-prison people who have BMI >= 25 (number of prisoners who are overweight) | pub=WHO | desc: In-prison people who have BMI >= 25 (number of prisoners who are overweight) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1631] Overall compliance with bans on promotion and sponsorship (score) | pub=WHO | desc: Overall compliance with bans on promotion and sponsorship (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1632] Number of new reported cases of human African trypanosomiasis (T.b. gambiense) | pub=WHO | desc: Number of new reported cases of human African trypanosomiasis (T.b. gambiense) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1633] Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense) | pub=WHO | desc: Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1634] Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental im | pub=WHO | desc: Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1635] General availability of Angiotensin II receptor blockers (ARBs) in the public health sector | pub=WHO | desc: General availability of Angiotensin II receptor blockers (ARBs) in the public health sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1636] Antimicrobial resistance or decreased susceptibiity (DS/R) to antimicrobials in Neisseria gonorrhoea | pub=WHO | desc: Antimicrobial resistance or decreased susceptibiity (DS/R) to antimicrobials in Neisseria gonorrhoea isolates (WHO-GASP) (proportion) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1637] Early Initiation of Breastfeeding, Children born in the last 24 months | pub=WHO | desc: Early Initiation of Breastfeeding, Children born in the last 24 months | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1638] Has conducted a recent, national adult risk factor survey covering tobacco use | pub=WHO | desc: Has conducted a recent, national adult risk factor survey covering tobacco use | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1639] Compliance with ban on appearance of tobacco products in TV and/or films (score) | pub=WHO | desc: Compliance with ban on appearance of tobacco products in TV and/or films (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
