[6434] Prevalence of overweight, female, BMI > 25 (% of population ages 15-49): Q2 | pub=World Bank | desc: Percentage of female population aged 15-49 with BMI above 25 (excludes currently pregnant women and women having given birth in the three months preceding the survey) | cols: country, date, value, indicator
[6435] Prevalence of overweight, female, BMI > 25 (% of population ages 15-49): Q3 | pub=World Bank | desc: Percentage of female population aged 15-49 with BMI above 25 (excludes currently pregnant women and women having given birth in the three months preceding the survey) | cols: country, date, value, indicator
[6436] Prevalence of overweight, female, BMI > 25 (% of population ages 15-49): Q4 | pub=World Bank | desc: Percentage of female population aged 15-49 with BMI above 25 (excludes currently pregnant women and women having given birth in the three months preceding the survey) | cols: country, date, value, indicator
[6437] Prevalence of overweight, female, BMI > 25 (% of population ages 15-49): Q5 (highest) | pub=World Bank | desc: Percentage of female population aged 15-49 with BMI above 25 (excludes currently pregnant women and women having given birth in the three months preceding the survey) | cols: country, date, value, indicator
[6438] Prevalence of overweight, female, BMI > 25 (% of population 18+) | pub=World Bank | desc: Percentage of female population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6439] Prevalence of overweight, female, BMI > 25 (% of population 18+): Q1 (lowest) | pub=World Bank | desc: Percentage of female population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6440] Prevalence of overweight, female, BMI > 25 (% of population 18+): Q2 | pub=World Bank | desc: Percentage of female population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6441] Prevalence of overweight, female, BMI > 25 (% of population 18+): Q3 | pub=World Bank | desc: Percentage of female population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6442] Prevalence of overweight, female, BMI > 25 (% of population 18+): Q4 | pub=World Bank | desc: Percentage of female population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6443] Prevalence of overweight, female, BMI > 25 (% of population 18+): Q5 (highest) | pub=World Bank | desc: Percentage of female population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6444] Prevalence of overweight, male, BMI > 25 (% of population 18+) | pub=World Bank | desc: Percentage of male population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6445] Prevalence of overweight, male, BMI > 25 (% of population 18+): Q1 (lowest) | pub=World Bank | desc: Percentage of male population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6446] Prevalence of overweight, male, BMI > 25 (% of population 18+): Q2 | pub=World Bank | desc: Percentage of male population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6447] Prevalence of overweight, male, BMI > 25 (% of population 18+): Q3 | pub=World Bank | desc: Percentage of male population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6448] Prevalence of overweight, male, BMI > 25 (% of population 18+): Q4 | pub=World Bank | desc: Percentage of male population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6449] Prevalence of overweight, male, BMI > 25 (% of population 18+): Q5 (highest) | pub=World Bank | desc: Percentage of male population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6450] Prevalence of overweight, BMI > 25 (% of population 18+) | pub=World Bank | desc: Percentage of population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6451] Prevalence of overweight, BMI > 25 (% of population 18+): Q1 (lowest) | pub=World Bank | desc: Percentage of population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6452] Prevalence of overweight, BMI > 25 (% of population 18+): Q2 | pub=World Bank | desc: Percentage of population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6453] Prevalence of overweight, BMI > 25 (% of population 18+): Q3 | pub=World Bank | desc: Percentage of population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6454] Prevalence of overweight, BMI > 25 (% of population 18+): Q4 | pub=World Bank | desc: Percentage of population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6455] Prevalence of overweight, BMI > 25 (% of population 18+): Q5 (highest) | pub=World Bank | desc: Percentage of population aged 18 or older with BMI above 25 | cols: country, date, value, indicator
[6456] Prevalence of stunting, height for age (% of children under 5) | pub=World Bank | desc: Percentage of children under 5 with a Height-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards) | cols: country, date, value, indicator
[6457] Prevalence of stunting, height for age (% of children under 5): Q1 (lowest) | pub=World Bank | desc: Percentage of children under 5 with a Height-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards) | cols: country, date, value, indicator
[6458] Prevalence of stunting, height for age (% of children under 5): Q2 | pub=World Bank | desc: Percentage of children under 5 with a Height-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards) | cols: country, date, value, indicator
[6459] Prevalence of stunting, height for age (% of children under 5): Q3 | pub=World Bank | desc: Percentage of children under 5 with a Height-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards) | cols: country, date, value, indicator
[6460] Prevalence of stunting, height for age (% of children under 5): Q4 | pub=World Bank | desc: Percentage of children under 5 with a Height-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards) | cols: country, date, value, indicator
[6461] Prevalence of stunting, height for age (% of children under 5): Q5 (highest) | pub=World Bank | desc: Percentage of children under 5 with a Height-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards) | cols: country, date, value, indicator
[6462] Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket healt | pub=World Bank | desc: Percentage of population pushed below 60% of median consumption by out-of-pocket health spending | cols: country, date, value, indicator
[6463] Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket healt | pub=World Bank | desc: Percentage of population pushed below 60% of median consumption by out-of-pocket health spending | cols: country, date, value, indicator
[6464] Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket healt | pub=World Bank | desc: Percentage of population pushed below 60% of median consumption by out-of-pocket health spending | cols: country, date, value, indicator
[6465] Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket healt | pub=World Bank | desc: Percentage of population pushed below 60% of median consumption by out-of-pocket health spending | cols: country, date, value, indicator
[6466] Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket healt | pub=World Bank | desc: Percentage of population pushed below 60% of median consumption by out-of-pocket health spending | cols: country, date, value, indicator
[6467] Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket healt | pub=World Bank | desc: Percentage of population pushed below 60% of median consumption by out-of-pocket health spending | cols: country, date, value, indicator
[6468] Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health ca | pub=World Bank | desc: Percentage of population pushed below 1.90 international $ per day consumption poverty line by out-of-pocket health spending | cols: country, date, value, indicator
[6469] Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health ca | pub=World Bank | desc: Percentage of population pushed below 1.90 international $ per day consumption poverty line by out-of-pocket health spending | cols: country, date, value, indicator
[6470] Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health ca | pub=World Bank | desc: Percentage of population pushed below 1.90 international $ per day consumption poverty line by out-of-pocket health spending | cols: country, date, value, indicator
[6471] Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health ca | pub=World Bank | desc: Percentage of population pushed below 1.90 international $ per day consumption poverty line by out-of-pocket health spending | cols: country, date, value, indicator
[6472] Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health ca | pub=World Bank | desc: Percentage of population pushed below 1.90 international $ per day consumption poverty line by out-of-pocket health spending | cols: country, date, value, indicator
