[621] WLPT-II Scores by District_2011 | pub=WA State (data.wa.gov) | cols: PercentNoScore, PercentTransitioned, PreviouslyTransitioned, SchoolYear, PercentLevel1, TotalTransitioned, TotalTested, ESD, Level3, County | tags: student, k-12, ospi, 2011, assessment, district
[714] WASL Scores by District_2005 | pub=WA State (data.wa.gov) | cols: SchoolYear, ScienceLevel3, WritingWAASPORT, WritingPercentNoScore, WritingNoScore, WritingPercentLevel3, WritingLevel3, WritingLevel1, MathNoScore, MathPercentLevelBasic | tags: 2005, district, assessment, reportcard, student, ospi
[715] Demographic Information by School_2005 | pub=WA State (data.wa.gov) | cols: PercentFemale, PercentTransitionalBilingual, PercentSpecialEducation, PercentWhite, County, Total Enrollment, PercentMale, StudentsPerTeacher, CountDistrictNumber, PercentBlack | tags: school, 2005, enrollment, k-12, ospi, reportcard
[717] AYP Data by District - proficiency_2010 | pub=WA State (data.wa.gov) | cols: DistrictCode, PreviousWeightedCEMetWhite, MetTargetAfterSHFlagAsian, MetTargetBeforeSHLowIncome, Met10PercentFlagBlack, MetOtherIndicatorFlagSpecialEd, MetTargetBeforeSHBlack, DistrictName, MetTargetBeforeSHLtdEnglish, MetOtherIndicatorFlagHispanic | tags: reportcard, student, ospi, k-12, district, accountability
[720] WaKIDS Scores by District_2013 | pub=WA State (data.wa.gov) | cols: NumberMet6Domains, SocialEmotionalMet, MathTotal, Math4YearOlds, Literacy4YearOlds, Literacy3YearOlds, LiteracyBirthtoTwoYearOlds, Language4YearOlds, Literacy5YearOlds, Language3YearOlds | tags: district, assessment, 2013, student, reportcard, ospi
[721] Dual Credit Data by District_2014 | pub=WA State (data.wa.gov) | cols: International Baccalaureate, OrganizationName, schoolYear, Advanced Placement, College in High School, Tech Prep, Cambridge, Grades 9-12 Total Students, At Least One Option, Running Start | tags: student, 2014, district, dual credit, k-12, ospi
[722] WELPA Scores by District_2011 | pub=WA State (data.wa.gov) | cols: PercentTransitioned, TotalTransitioned, Level3, PercentLevel3, NoScore, PercentNoScore, PreviouslyTransitioned, County, CountyDistrictNumber, District | tags: k-12, 2011, assessment, district, ospi, reportcard
[723] Demographic Information by District_2011 | pub=WA State (data.wa.gov) | cols: NumberAmericanIndianorAlaskanNative, NumberBlack, NumberAsianPacificIslander, PercentSpecialEducation, PercentAsianPacificIslander, District, PercentTeachersWithAtLeastMasterDegree, PercentAmericanIndianorAlaskanNative, TotalEnrollment, NumberTransitionalBilingual | tags: student, ospi, enrollment, 2011, k-12, district
[724] AYP Data by School - proficiency_2010 | pub=WA State (data.wa.gov) | cols: DistrictName, Met10PercentFlagWhite, ReductionPercentLtdEnglish, ReductionPercentAsian, PreviousWeightedCEMetLtdEnglish, PreviousWeightedCEMetAsian, IndexLtdEnglish, IndexAll, SchoolName, SchoolCode | tags: ospi, accountability, 2010, reportcard, school, student
[725] AYP Data by School - proficiency_2014 | pub=WA State (data.wa.gov) | cols: MetTargetAfterSHFlagPACIFICISLANDER, PreviousWeightedCEMetAsian, MetTargetBeforeSHPacificIslander, MetOtherIndicatorFlagAmericanIndian, Subject, Met10PercentFlagAll, DistrictCode, MetOtherIndicatorFlagLowIncome, Met10PercentFlagLtdEnglish, MetOtherIndicatorFlagLtdEnglish | tags: ospi, 2014, student, school, reportcard, accountability
[726] Dual Credit Data by District-OldMethod_2015 | pub=WA State (data.wa.gov) | cols: Transitional Bilingual, Gifted, District Code, White, Not Provided, School Year, CourseType, Free or Reduced Meals, American Indian/Alaskan Native, Total Dual Credit Course Enrollments | tags: 2015, ospi, dual credit, district, student, reportcard
[727] AYP Data by School - overall_2015 | pub=WA State (data.wa.gov) | cols: DistrictName, ESD, BuildingNumber, TitleIYearIndicated, CountyName, SchoolYear, SchoolName, SchoolImprovement, DistrictCode, MetAYP | tags: accountability, 2015, k-12, ospi, reportcard, school
[728] District EOC scores by Subgroup_2011 | pub=WA State (data.wa.gov) | cols: AllEOCMathYear1PercentNotMet, AllEOCMathYear1NotMet, AllEOCMathYear1ExcusedAbsence, Retake2MetStandardWithoutPrevPass, County, SchoolYear, BiologyMetStandardIncludingPrevPass, BiologyTotalTestedNotTested, BiologyExcusedAbsence, Retake2TotalTestedNotTested | tags: reportcard, assessment, 2011, k-12, student, ospi
[729] AYP Data by District - proficiency_2009 | pub=WA State (data.wa.gov) | cols: MetOtherIndicatorFlagAsian, MetTargetAfterSHFlagLowIncome, MetTargetAfterSHFlagAmericanIndian, MetOtherIndicatorFlagHispanic, MetOtherIndicatorFlagAll, ReductionPercentLowIncome, ReductionPercentLtdEnglish, ReductionPercentWhite, ReductionPercentHispanic, ReductionPercentBlack | tags: reportcard, k-12, district, 2009, ospi, accountability
[730] Dual Credit Data by School-OldMethod_2011 | pub=WA State (data.wa.gov) | cols: American Indian/Alaskan Native, Grades 9-12 Total Students In Dual Credit Courses, Not Provided, Asian, White, District Code, Native Hawaiian/Other Pacific Islander, Two or More Races, Transitional Bilingual, Special Education | tags: school, student, dual credit, k-12, ospi, reportcard
[731] WELPA Scores by District_2013 | pub=WA State (data.wa.gov) | cols: PercentTransitioned, County, suppressReason, suppressed, TotalTested, PercentLevel3, CountyNumber, CountyDistrictNumber, PercentLevel2, District | tags: k-12, ospi, 2013, district, assessment, reportcard
