[858] AYP Data by District - proficiency_2011 | pub=WA State (data.wa.gov) | cols: ReductionPercentLowIncome, MetTargetAfterSHFlagAll, IndexBlack, PreviousWeightedCEMetAsian, MetOtherIndicatorFlagWhite, EsdCode, EsdName, DistrictName, IndexAll, IndexAmericanIndian | tags: k-12, student, reportcard, ospi, district, accountability
[859] CTE Course Enrollment by State - cluster areas_2012 | pub=WA State (data.wa.gov) | cols: State, Participant Counts1, Participant Percent, Participant Counts, Subgroup, Concentrator Counts, SchoolYear, Cluster Area Name, Concentrator Counts1, Cluster Area Number | tags: ospi, student, state, reportcard, k-12, cte
[860] ELPA21 District_2017 | pub=WA State (data.wa.gov) | cols: TotalProficient, District, Emerging, County, Progressing, schoolYear, DistrictCode, suppressReason, testAdministration, GradeLevel | tags: k-12, 2017, assessment, district, ospi, reportcard
[861] District WELPA scores by Subgroup_2014 | pub=WA State (data.wa.gov) | cols: SchoolYear, suppressed, ESD, Level1, NoScore, PercentLevel3, Level3, PercentLevel2, GradeLevel, CountyDistrictNumber | tags: ospi, 2014, assessment, district, k-12, reportcard
[862] AYP Data by School - participation-other indicator_2010 | pub=WA State (data.wa.gov) | cols: MetAYP_SplEdMathParticipation, HispanicMathParticipation, WhiteMathParticipation, SplEdMathParticipation, LowIncomeMathParticipation, MetAYP_AmericanIndMathParticipation, MetAYP_LowIncomeMathParticipation, MetAYP_WhiteMathParticipation, OtherIndicator_UA, BlackReadParticipation | tags: reportcard, 2010, accountability, k-12, ospi, school
[863] AYP Data by School - proficiency_2015 | pub=WA State (data.wa.gov) | cols: MetTargetTwoOrMoreRaces, MetTargetLtdEnglish, IndexTwoOrMoreRaces, MetTargetPacificIslander, MetTargetAll, IndexAll, IndexBlack, MetTargetAsian, IndexLtdEnglish, IndexSpecialEd | tags: reportcard, school, student, ospi, 2015, accountability
[864] CTE Demographic Data by State_2011 | pub=WA State (data.wa.gov) | cols: SchoolYear, Subgroup, Number of Secondary Students, Number of Secondary CTE Concentrators, Number of Secondary Tech Prep Students, Number of Secondary CTE Tech Prep Concentrators, State | tags: reportcard, student, state, k-12, ospi, cte
[865] School WASL Scores by Subgroup_2002 | pub=WA State (data.wa.gov) | cols: School, SciencePercentLevelBasic, WritingPercentLevel1, WritingMetStandardWithoutPrevPass, MathPercentNotMet, MathNotMet, MathNoScore, MathLevel4, MathLevel3, MathLevel2 | tags: assessment, reportcard, school, student, ospi, k-12
[866] MSP-HSPE Scores by State_2015 | pub=WA State (data.wa.gov) | cols: SchoolYear, ScienceNotMet, ScienceLevel2, SciencePercentLevel2, ScienceLevel1, GradeTested, SciencePercentMetStandardWithoutPrevPass, ScienceNoScore, ScienceWAASPORT, SciencePercentNotMet | tags: student, k-12, ospi, reportcard, state, 2015
[867] State WELPA scores by Subgroup_2011 | pub=WA State (data.wa.gov) | cols: PercentLevel1, TotalTransitioned, Level1, PreviouslyTransitioned, PercentNoScore, PercentLevel2, Level3, SchoolYear, PercentLevel3, GradeLevel | tags: assessment, 2011, ospi, reportcard, state, student
[868] CTE Course Enrollment by District - cluster areas_2013 | pub=WA State (data.wa.gov) | cols: ESD, Cluster Area Number, District, CountyDistrictNumber, Concentrator Counts1, SchoolYear, County, Concentrator Counts, CountyNumber, Subgroup | tags: ospi, reportcard, student, 2013, cte, district
[870] District WELPA scores by Subgroup_2012 | pub=WA State (data.wa.gov) | cols: GradeLevel, PercentLevel2, PercentLevel3, Level3, PercentTransitioned, TotalTransitioned, TotalTested, District, County, PreviouslyTransitioned | tags: ospi, reportcard, 2012, assessment, student, district
[871] State MSP-HSPE Scores by Subgroup_2015 | pub=WA State (data.wa.gov) | cols: SciencePercentLevel3, ScienceLevel4, ScienceLevelBasic, SciencePercentLevel2, SciencePercentLevel1, ScienceLevel1, SciencePercentMetStandardWithoutPrevPass, ScienceMetStandardWithoutPrevPass, SciencePercentMetStandardIncludingPrevPass, ScienceMetStandardIncludingPrevPass | tags: 2015, student, assessment, k-12, state, ospi
[873] WAAS Scores by District_2009 | pub=WA State (data.wa.gov) | cols: Column1, WAASReadingPercentMetStandardExcludingNoScore, WAASReadingPercentLevel2, WAASReadingLevel3, WAASReadingNoScore, WAASMathLevel1, WAASMathNotMet, WAASMathTotalTestedNotTested, WAASMathTotalTested, WAASMathMetStandard | tags: assessment, reportcard, ospi, k-12, district, 2009
[874] WELPA Scores by School_2010 | pub=WA State (data.wa.gov) | cols: BuildingNumber, PreviouslyTransitioned, PercentLevel1, Level1, ESD, TotalTestedNotTested, SchoolYear, PercentNoScore, NoScore, PercentLevel2 | tags: school, 2010, assessment, k-12, ospi, reportcard
[876] WELPA Scores by School_2013 | pub=WA State (data.wa.gov) | cols: BuildingNumber, suppressed, School, suppressReason, TotalTested, PercentTransitioned, Level3, Level2, PercentLevel1, PercentNoScore | tags: 2013, ospi, reportcard, k-12, school, student
[877] AYP Data by School - overall_2003 | pub=WA State (data.wa.gov) | cols: DistrictCode, ESD, SchoolImprovement, DistrictName, BuildingNumber, CountyName, TitleI, MetAYP, SchoolYear, SchoolName | tags: accountability, school, reportcard, ospi, k-12, 2003
[878] CTE Demographic Data by State_2009 | pub=WA State (data.wa.gov) | cols: SchoolYear, Number of Secondary Tech Prep Students, State, Number of Secondary Students, Subgroup, Number of Secondary CTE Tech Prep Concentrators, Number of Secondary CTE Concentrators | tags: cte, reportcard, state, 2009, k-12, student
[879] WELPA Scores by State_2015 | pub=WA State (data.wa.gov) | cols: suppressed, TotalTransitioned, PercentLevel3, PercentNoScore, TotalTested, SchoolYear, GradeLevel, PercentLevel1, PercentTransitioned, TotalTestedNotTested | tags: ospi, state, reportcard, 2015, assessment, k-12
[881] District MSP-HSPE Scores by Subgroup_2011 | pub=WA State (data.wa.gov) | cols: MathLevel2, MathLevelIndex, ReadingLevelIndex, ScienceWAASPORT, ScienceNoScore, SciencePercentLevel4, SciencePercentLevelBasic, ScienceLevelBasic, SciencePercentLevel1, ScienceLevel1 | tags: assessment, 2011, reportcard, ospi, k-12, district
[882] School MSP-HSPE Scores by Subgroup_2013 | pub=WA State (data.wa.gov) | cols: ScienceMetStandardWithoutPrevPass, WritingExempted, WritingPercentLevel1, WritingPercentMetStandardWithoutPrevPass, MathPercentMetStandardExcludingNoScore, ReadingMetStandardIncludingPrevPass, County, CountyNumber, WritingMetStandardIncludingPrevPass, WritingTotalMSP_HSPETested | tags: 2013, ospi, reportcard, school, k-12, assessment
[883] AMO Data by District - overall_2013 | pub=WA State (data.wa.gov) | cols: county, MathMetProficiency, ReadingMetProficiency, MathProficiency, Subgroup, OtherIndicatorMet, ReadingMetParticipation, ReadingTargetProficiency, District, MathMetParticipation | tags: k-12, accountability, district, ospi, student, reportcard
[884] Dual Credit Data by State-OldMethod_2013 | pub=WA State (data.wa.gov) | cols: Male Students, Course Type, Asian, Black/African American, Total Dual Credit Course Enrollments, Two or More Races, Female Students, Native Hawaiian/Other Pacific Islander, American Indian/Alaskan Native, Free or Reduced Meals | tags: k-12, student, state, reportcard, ospi, dual credit
[885] WELPA Scores by School_2014 | pub=WA State (data.wa.gov) | cols: CountyNumber, PercentLevel3, TotalTestedNotTested, PercentLevel1, PercentLevel2, Level2, County, suppressReason, SchoolYear, BuildingNumber | tags: student, 2014, assessment, k-12, ospi, reportcard
[886] District WELPA scores by Subgroup_2013 | pub=WA State (data.wa.gov) | cols: PercentLevel1, PercentLevel3, Level3, PercentTransitioned, TotalTestedNotTested, suppressReason, Subgroup, CountyDistrictNumber, Level2, County | tags: 2013, student, reportcard, ospi, k-12, district
[887] EOC Scores by State_2012 | pub=WA State (data.wa.gov) | cols: AllEOCMathYear1NotMet, Retake1PercentLevel2, AllEOCMathYear2LevelBasic, Algebra1TotalTested, AllEOCMathYear1MetStandardIncludingPrevPass, Retake1LevelBasic, BiologyPercentMetStandardIncludingPrevPass, Retake1Level2, Integrated1TotalTested, Integrated1PercentMetStandardWithoutPrevPass | tags: k-12, 2012, student, state, reportcard, assessment
[888] WELPA Scores by State_2011 | pub=WA State (data.wa.gov) | cols: TotalTestedNotTested, PercentLevel1, PercentNoScore, Level3, PreviouslyTransitioned, Level2, PercentLevel2, Level1, PercentLevel3, PercentTransitioned | tags: assessment, k-12, ospi, reportcard, 2011, student
[889] CTE Perkins Data by District - subgroup_2010 | pub=WA State (data.wa.gov) | cols: ESD, Number of Students in the Numerator, Number of Students in the Denominator, County, SchoolYear, CountyNumber, Performance Indicator Name, Performance Indicator Number, Subgroup, District | tags: cte, ospi, district, 2010, reportcard, student
[890] EOC Scores by District_2015 | pub=WA State (data.wa.gov) | cols: District, BiologyMetStandardIncludingPrevPass, BiologyPercentMetStandardIncludingPrevPass, BiologyExcusedAbsence, BiologyPercentLevel4, BiologyLevel4, BiologyLevel3, BiologyPercentLevelBasic, BiologyPercentLevel1, BiologyPercentMetStandardExcludingNoScore | tags: 2015, district, k-12, student, reportcard, ospi
[891] State EOC scores by Subgroup_2014 | pub=WA State (data.wa.gov) | cols: Retake1Level2, GeometryPercentMetStandardExcludingNoScore, GeometryLevel1, GeometryPercentLevel1, GeometryPercentLevel2, GeometryLevelBasic, GeometryPercentLevelBasic, GeometryLevel4, Integrated1TotalTestedNotTested, Integrated1NotMet | tags: 2014, k-12, ospi, reportcard, state, student
[892] AYP Data by District - overall_2010 | pub=WA State (data.wa.gov) | cols: SchoolYear, ESD, DistrictCode, DistrictName, MetAYP, Step | tags: accountability, 2010, district, k-12, ospi, reportcard
[893] WAAS Scores by District_2010 | pub=WA State (data.wa.gov) | cols: WAASWritingWAAS, WAASMathPercentWAAS, WAASWritingNoScore, GradeTested, WAASMathWAAS, EthnicityGender, WAASWritingPercentWAAS, ESD, WAASMathPercentMetStandardExcludingNoScore, WAASWritingMetStandard | tags: k-12, district, assessment, 2010, student, reportcard
[894] EOC Scores by School_2014 | pub=WA State (data.wa.gov) | cols: AllEOCMathYear2ExcusedAbsence, AllEOCMathYear2Exempted, BiologyTotalTested, BiologyPercentMetStandardIncludingPrevPass, BiologyPercentLevel1, BiologyLevelBasic, Algebra1PercentMetStandardWithoutPrevPass, Retake1Level1, Retake1Level2, Retake1PercentNoScore | tags: school, ospi, reportcard, student, 2014, assessment
[895] CTE Demographic Data by District_2014 | pub=WA State (data.wa.gov) | cols: CountyNumber, Number of Secondary CTE Tech Prep Concentrators, Subgroup, CountyDistrictNumber, County, ESD, SchoolYear, District, Number of Secondary Students, Number of Secondary Tech Prep Students | tags: reportcard, ospi, k-12, district, cte, student
[896] AYP Data by District - overall_2011 | pub=WA State (data.wa.gov) | cols: ESD, SchoolYear, DistrictName, DistrictCode, MetAYP, Step | tags: district, ospi, reportcard, student, k-12, 2011
[897] AYP Data by School - overall_2010 | pub=WA State (data.wa.gov) | cols: CountyName, SchoolImprovement, DistrictName, ESD, DistrictCode, TitleI, BuildingNumber, SchoolName, MetAYP, SchoolYear | tags: k-12, ospi, school, reportcard, student, 2010
[898] EOC Scores by District_2014 | pub=WA State (data.wa.gov) | cols: Algebra1NoScore, Algebra1PercentNoScore, Algebra1ExcusedAbsence, Integrated1TotalTestedNotTested, AllEOCMathYear1MetStandardIncludingPrevPass, AllEOCMathYear1PercentMetStandardWithoutPrevPass, AllEOCMathYear1PercentMetStandardExcludingNoScore, AllEOCMathYear1Level2, AllEOCMathYear1LevelBasic, AllEOCMathYear1PercentLevel3 | tags: k-12, reportcard, student, ospi, 2014, assessment
[899] CTE Course Enrollment by State - cluster areas_2016 | pub=WA State (data.wa.gov) | cols: Cluster Area Name, Cluster Area Number, SchoolYear, State, Concentrator Counts, Participant Counts, Participant Counts1, Participant Percent, Concentrator Counts1, Concentrator Percent | tags: k-12, student, ospi, reportcard, 2016, cte
[900] AYP Data by District - participation-other indicator_2010 | pub=WA State (data.wa.gov) | cols: OtherIndicator_Grad, MetAYP_AmericanIndReadParticipation, MetAYP_ALLReadParticipation, GradeSpan, MetAYP_AllMathParticipation, AsianMathParticipation, MetAYP_HispanicReadParticipation, MetAYP_WhiteReadParticipation, MetAYP_HispanicMathParticipation, LtdEnglishMathParticipation | tags: 2010, reportcard, student, accountability, k-12, ospi
[901] State WELPA scores by Subgroup_2010 | pub=WA State (data.wa.gov) | cols: PercentLevel2, TotalTested, GradeLevel, SchoolYear, TotalTestedNotTested, PreviouslyTransitioned, Level1, PercentLevel1, Level2, PercentNoScore | tags: k-12, 2010, assessment, ospi, reportcard, state
[902] WaKIDS Scores by State_2013 | pub=WA State (data.wa.gov) | cols: SocialEmotionalTotal, Cognitive5YearOlds, LiteracyTotal, NumberMet4Domains, PhysicalBirthtoTwoYearOlds, LiteracyBirthtoTwoYearOlds, LiteracyMet, Language3YearOlds, SocialEmotional3YearOlds, PhysicalTotal | tags: assessment, 2013, student, state, reportcard, ospi
[903] CTE Perkins Data by State_2014 | pub=WA State (data.wa.gov) | cols: Number of Students in the Denominator, SchoolYear, Subgroup, Number of Students in the Numerator, Performance Indicator Number, Performance Indicator Name, State | tags: ospi, student, reportcard, 2014, cte, k-12
[904] EOC Scores by District_2012 | pub=WA State (data.wa.gov) | cols: Integrated1ExcusedAbsence, BiologyPercentNoScore, AllEOCMathYear1PercentMetStandardWithoutPrevPass, AllEOCMathYear1TotalTested, GeometryNotMet, Algebra1PercentLevel1, AllEOCMathYear1LevelBasic, AllEOCMathYear1PercentLevelBasic, AllEOCMathYear1Level4, GeometryLevel1 | tags: assessment, district, k-12, ospi, reportcard, student
[905] AYP Data by School - proficiency_2008 | pub=WA State (data.wa.gov) | cols: EsdName, PreviousWeightedCEMetAmericanIndian, MetTargetAfterSHFlagAsian, MetOtherIndicatorFlagWhite, MetTargetAfterSHFlagLowIncome, Met10PercentFlagBlack, PreviousWeightedCEMetAsian, Met10PercentFlagLowIncome, PreviousWeightedCEMetAll, PreviousWeightedCEMetLtdEnglish | tags: school, 2008, accountability, k-12, ospi, reportcard
[906] District MSP-HSPE Scores by Subgroup_2012 | pub=WA State (data.wa.gov) | cols: ReadingExcusedAbsence, ScienceMetStandardIncludingPrevPass, MathPercentMetStandardWithoutPrevPass, ReadingLevel4, SciencePercentLevel4, SciencePercentMetStandardExcludingNoScore, SciencePercentMetStandardIncludingPrevPass, MathMetStandardWithoutPrevPass, ScienceWAASDAPE, WritingPercentLevel1 | tags: district, assessment, reportcard, 2012, student, ospi
[907] AYP Data by District - proficiency_2015 | pub=WA State (data.wa.gov) | cols: IndexAll, IndexWhite, Subject, MetTargetHispanic, MetTargetLowIncome, EsdName, MetTargetAll, MetTargetAmericanIndian, MetTargetBlack, GradeSpanSort | tags: student, reportcard, ospi, k-12, district, accountability
[908] WaKIDS Scores by State_2016 | pub=WA State (data.wa.gov) | cols: CognitiveBirthtoTwoYearOlds, LiteracyMet, Math4YearOlds, MathBirthtoTwoYearOlds, Literacy3YearOlds, Cognitive4YearOlds, Physical5YearOlds, SocialEmotionalTwoYearOlds, SocialEmotionalBirthtoTwoYearOlds, CognitiveTwoYearOlds | tags: state, assessment, k-12, student, 2016, reportcard
[909] AYP Data by District - participation-other indicator_2007 | pub=WA State (data.wa.gov) | cols: MetAYP_SplEdReadParticipation, SplEdMathParticipation, MetAYP_AllMathParticipation, MetAYP_HispanicMathParticipation, MetAYP_AmericanIndReadParticipation, MetAYP_SplEdMathParticipation, LowIncomeReadParticipation, CountyName, MetAYP_LtdEnglishMathParticipation, BlackMathParticipation | tags: district, 2007, student, accountability, reportcard, ospi
[910] CTE Demographic Data by District_2011 | pub=WA State (data.wa.gov) | cols: Subgroup, Number of Secondary CTE Tech Prep Concentrators, ESD, County, CountyDistrictNumber, District, CountyNumber, Number of Secondary Students, Number of Secondary CTE Concentrators, Number of Secondary Tech Prep Students | tags: cte, ospi, k-12, reportcard, student, 2011
[911] School WELPA scores by Subgroup_2011 | pub=WA State (data.wa.gov) | cols: PreviouslyTransitioned, SchoolYear, ESD, District, Subgroup, TotalTransitioned, PercentTransitioned, Level3, PercentLevel3, Level2 | tags: assessment, 2011, reportcard, student, school, ospi
[912] Dual Credit Data by School-OldMethod_2012 | pub=WA State (data.wa.gov) | cols: Gifted, Asian, Free or Reduced Meals, Native Hawaiian/Other Pacific Islander, School Year, Grades 9-12 Total Students In Dual Credit Courses, Special Education, Femal Students, Hispanic/Latino of any race(s), Not Provided | tags: reportcard, school, dual credit, 2012, student, k-12
[913] State EOC scores by Subgroup_2012 | pub=WA State (data.wa.gov) | cols: GeometryLevel2, Retake2MetStandardWithoutPrevPass, Retake2TotalTestedNotTested, Integrated2Exempted, Integrated2PercentNoScore, Integrated2Level3, Integrated2PercentLevel1, Integrated2Level1, Integrated2PercentMetStandardExcludingNoScore, Integrated2PercentMetStandardIncludingPrevPass | tags: state, student, reportcard, ospi, k-12, assessment
[914] MAP -- All Projects (2012-21) 08-29-2018 | pub=WA State (data.wa.gov) | cols: County, Status, Leg. District, Funding Biennium, Activity, Start, Funded/Expended, End, Sponsor, Project
[915] State EOC scores by Subgroup_2013 | pub=WA State (data.wa.gov) | cols: AlgebraTotalTestedNotTested, Integrated2MetStandardWithoutPrevPass, GeometryPercentLevel3, GeometryPercentMetStandardWithoutPrevPass, GeometryMetStandardWithoutPrevPass, AllEOCMathYear1TotalTested, Retake1PercentMetStandardIncludingPrevPass, Retake1TotalTestedNotTested, Integrated1PercentNotMet, Integrated1Level3 | tags: k-12, ospi, 2013, assessment, state, reportcard
[916] AYP Data by School - participation-other indicator_2014 | pub=WA State (data.wa.gov) | cols: MetAYP_LtdEnglishMathParticipation, MetAYP_LtdEnglishReadParticipation, MetAYP_BlackMathParticipation, SplEdMathParticipation, MetAYP_HispanicMathParticipation, LtdEnglishMathParticipation, TwoOrMoreRacesMathParticipation, MetAYP_AmericanIndReadParticipation, HispanicReadParticipation, ALLReadParticipation | tags: 2014, k-12, accountability, ospi, student, school
[917] CTE Perkins Data by State_2010 | pub=WA State (data.wa.gov) | cols: Number of Students in the Denominator, SchoolYear, Performance Indicator Name, Number of Students in the Numerator, Subgroup, Performance Indicator Number, State | tags: k-12, cte, 2010, student, state, reportcard
[918] WaKIDS Scores by State_2014 | pub=WA State (data.wa.gov) | cols: Physical4YearOlds, SocialEmotional5YearOlds, SocialEmotional3YearOlds, Cognitive3YearOlds, MathTotal, LiteracyBirthtoTwoYearOlds, NumberMet3Domains, SocialEmotionalMet, Math4YearOlds, Literacy3YearOlds | tags: 2014, assessment, k-12, student, state, ospi
[919] AYP Data by District - participation-other indicator_2011 | pub=WA State (data.wa.gov) | cols: LtdEnglishMathParticipation, HispanicReadParticipation, AmericanIndReadParticipation, MetAYP_BlackMathParticipation, MetAYP_WhiteReadParticipation, MetAYP_AmericanIndReadParticipation, MetAYP_HispanicReadParticipation, MetAYP_LowIncomeMathParticipation, WhiteMathParticipation, MetAYP_AsianReadParticipation | tags: district, k-12, ospi, reportcard, student, 2011
[920] CTE Course Enrollment by State - cluster areas_2015 | pub=WA State (data.wa.gov) | cols: Cluster Area Name, State, Concentrator Percent, SchoolYear, Concentrator Counts1, Concentrator Counts, Participant Counts1, Participant Counts, Cluster Area Number, Subgroup | tags: reportcard, state, student, ospi, k-12, cte
[921] MSP-HSPE Scores by School_2015 | pub=WA State (data.wa.gov) | cols: ScienceLevel4, GradeTested, ScienceWAASDAPE, ScienceLevel3, SchoolYear, CountyNumber, SciencePercentLevel4, SciencePercentNotMet, SciencePercentLevel1, SciencePercentMetStandardIncludingPrevPass | tags: student, 2015, assessment, k-12, ospi, reportcard
[922] WQI score example 3 | pub=WA State (data.wa.gov) | cols: Good, Poor, Moderate, Year, Fair
[923] WAAS Scores by District_2013 | pub=WA State (data.wa.gov) | cols: WAASSciencePercentNoScore, WAASSciencePercentMetStandardExcludingNoScore, WAASWritingLevel2, WAASWritingLevel1, WAASWritingTotalTestedNotTested, WAASMathPercentNotMet, WAASMathPercentMetStandard, WAASReadingLevel4, WAASReadingPercentLevel1, WAASMathTotalTestedNotTested | tags: reportcard, k-12, 2013, assessment, district, student
[924] CTE Perkins Data by District - grand total_2009 | pub=WA State (data.wa.gov) | cols: Actual Level of Performance, Number of Students in the Denominator, District, State Adjusted Level of Performance, Performance Indicator Name, ESD, CountyDistrictNumber, County, CountyNumber, District Negotiated Target | tags: student, 2009, cte, district, k-12, ospi
[925] ELPA21 District_2016 | pub=WA State (data.wa.gov) | cols: PercentProficient, DistrictCode, PercentProgressing, countTotalTested_and_NotTested, percentNoScore, TotalTested, PercentEmerging, Progressing, TotalProficient, suppressReason | tags: k-12, 2016, assessment, district, ospi, reportcard
[926] CTE Perkins Data by District - grand total_2010 | pub=WA State (data.wa.gov) | cols: District Negotiated Target, Number of Students in the Denominator, Number of Students in the Numerator, District, County, CountyNumber, State Adjusted Level of Performance, SchoolYear, ESD, Performance Indicator Name | tags: 2010, ospi, district, cte, reportcard, k-12
[927] Dual Credit Data by State-OldMethod_2011 | pub=WA State (data.wa.gov) | cols: Hispanic/Latino of any race(s), Black/African American, Male Students, Free or Reduced Meals, CourseType, Native Hawaiian/Other Pacific Islander, School Year, Two or More Races, Not Provided, Asian | tags: k-12, ospi, state, reportcard, student, 2011
[928] CTE Perkins Data by District - grand total_2016 | pub=WA State (data.wa.gov) | cols: County, District, Performance Indicator Name, Number of Students in the Numerator, District Negotiated Target, Met 90% of Adjusted Level of Performance, State Adjusted Level of Performance, SchoolYear, Number of Students in the Denominator, Actual Level of Performance | tags: ospi, k-12, reportcard, 2016, district, cte
