[331] Usfs Fia | pub=Google BigQuery | cols: sequence_number, plot_sequence_number, inventory_year, state_code, state_code_name, survey_unit_code, survey_unit_code_name, county_code, county_code_name, phase_2_plot_number | tags: bigquery, public-data
[332] Usitc Investigations | pub=Google BigQuery | cols: actualEndDateEvidHear, actualStartDateEvidHear, aljAssigned, cafcAppeals, complainant, copyrightNumbers, currentActiveALJ, currentStatus, dateComplaintFiled, dateCreated | tags: bigquery, public-data
[333] Uspto Oce Assignment | pub=Google BigQuery | cols: rf_id, ee_name, ee_address_1, ee_address_2, ee_city, ee_state, ee_postcode, ee_country, rf_id, ee_name | tags: bigquery, public-data
[334] Uspto Oce Cancer | pub=Google BigQuery | cols: Patent_or_Publication_ID, publication_number, Family_ID, Patent_or_Publication_ID, Application_Number, Filing_Date, Grant_or_Publication_Date, CPC_Inventive, CPC_Additional, IPC_Primary | tags: bigquery, public-data
[335] Uspto Oce Claims | pub=Google BigQuery | cols: pub_no, pat_no, publication_number, pub_no, pat_no, publication_number, pat_no, claim_no, claim_txt, dependencies | tags: bigquery, public-data
[336] Uspto Oce Litigation | pub=Google BigQuery | cols: case_row_id, case_number, party_row_count, party_type, attorney_row_count, name, contactinfo, position, case_row_id, case_number | tags: bigquery, public-data
[337] Uspto Oce Office Actions | pub=Google BigQuery | cols: app_id, citation_pat_pgpub_id, parsed, ifw_number, action_type, action_subtype, form892, form1449, citation_in_oa, app_id | tags: bigquery, public-data
[338] Uspto Oce Pair | pub=Google BigQuery | cols: application_number, inventor_name_first, inventor_name_middle, inventor_name_last, inventor_rank, inventor_region_code, inventor_country_code, inventor_country_name, inventor_address_type, application_number | tags: bigquery, public-data
[339] Uspto Ptab | pub=Google BigQuery | cols: ApplicationNumber, application_number, InventorName, PatentOwnerName, LastModifiedDatetime, InstitutionDecisionDate, ProsecutionStatus, AccordedFilingDate, PatentNumber, PetitionerPartyName | tags: bigquery, public-data
[340] Utility Eu | pub=Google BigQuery | cols: country_name, fips_code, alpha_2_code, alpha_3_code, numeric_code, stanag_code, cctlds, continent_code, continent_name, sub_continent_name | tags: bigquery, public-data
[341] Utility Us | pub=Google BigQuery | cols: country_name, fips_code, alpha_2_code, alpha_3_code, numeric_code, stanag_code, cctlds, continent_code, continent_name, sub_continent_name | tags: bigquery, public-data
[342] Wikipedia | pub=Google BigQuery | cols: datehour, wiki, title, views, datehour, wiki, title, views, datehour, wiki | tags: bigquery, public-data
[343] Wise All Sky Data Release | pub=Google BigQuery | cols: designation, ra, dec, sigra, sigdec, sigradec, glon, glat, elon, elat | tags: bigquery, public-data
[344] World Bank Global Population | pub=Google BigQuery | cols: country, country_code, year_1960, year_1961, year_1962, year_1963, year_1964, year_1965, year_1966, year_1967 | tags: bigquery, public-data
[345] World Bank Health Population | pub=Google BigQuery | cols: country_code, series_code, description, country_code, short_name, table_name, long_name, two_alpha_code, currency_unit, special_notes | tags: bigquery, public-data
[346] World Bank Intl Debt | pub=Google BigQuery | cols: country_code, series_code, description, country_code, short_name, table_name, long_name, two_alpha_code, currency_unit, special_notes | tags: bigquery, public-data
[347] World Bank Intl Education | pub=Google BigQuery | cols: country_code, series_code, description, country_code, short_name, table_name, long_name, two_alpha_code, currency_unit, special_notes | tags: bigquery, public-data
[348] World Bank Wdi | pub=Google BigQuery | cols: country_code, series_code, description, country_code, short_name, table_name, long_name, two_alpha_code, currency_unit, special_notes | tags: bigquery, public-data
[349] Worldbank Wdi | pub=Google BigQuery | cols: year, country_name, country_code, indicator_name, indicator_code, indicator_value | tags: bigquery, public-data
[350] Worldpop | pub=Google BigQuery | cols: country_name, geo_id, population, longitude_centroid, latitude_centroid, alpha_3_code, geog, last_updated | tags: bigquery, public-data
