[34] Covid19 Aha | pub=Google BigQuery | cols: county_fips_code, county_name, state_name, cbsa_code, total_hospital_beds, acute_long_term_care_beds, alcohol_drug_abuse_dependency_inpatient_care_beds, burn_care_beds, cardiac_intensive_care_beds, gen_medical_surgical_adult_beds | tags: bigquery, public-data
[35] Covid19 Covidtracking | pub=Google BigQuery | cols: date, admin_level_1, state, tests_increase, tests_total, tests_pending, cases_positive_increase, cases_positive_total, cases_negative_increase, cases_negative_total | tags: bigquery, public-data
[36] Covid19 Ecdc | pub=Google BigQuery | cols: date, day, month, year, daily_confirmed_cases, daily_deaths, confirmed_cases, deaths, countries_and_territories, geo_id | tags: bigquery, public-data
[37] Covid19 Ecdc Eu | pub=Google BigQuery | cols: date, day, month, year, daily_confirmed_cases, daily_deaths, confirmed_cases, deaths, countries_and_territories, geo_id | tags: bigquery, public-data
[38] Covid19 Genome Sequence | pub=Google BigQuery | cols: acc, assay_type, center_name, consent, experiment, sample_name, instrument, librarylayout, libraryselection, librarysource | tags: bigquery, public-data
[39] Covid19 Geotab Mobility Impact | pub=Google BigQuery | cols: aggregation_method, date, version, airport_name, percent_of_baseline, center_point_geom, city, state_region, country_iso_code_2, country_name | tags: bigquery, public-data
[40] Covid19 Geotab Mobility Impact Eu | pub=Google BigQuery | cols: aggregation_method, date, version, airport_name, percent_of_baseline, center_point_geom, city, state_region, country_iso_code_2, country_name | tags: bigquery, public-data
[41] Covid19 Google Mobility | pub=Google BigQuery | cols: country_region_code, country_region, sub_region_1, sub_region_2, metro_area, iso_3166_2_code, census_fips_code, place_id, date, retail_and_recreation_percent_change_from_baseline | tags: bigquery, public-data
[42] Covid19 Google Mobility Eu | pub=Google BigQuery | cols: country_region_code, country_region, sub_region_1, sub_region_2, metro_area, iso_3166_2_code, census_fips_code, place_id, date, retail_and_recreation_percent_change_from_baseline | tags: bigquery, public-data
[43] Covid19 Govt Response | pub=Google BigQuery | cols: country_name, alpha_3_code, region_name, region_code, date, school_closing, school_closing_flag, school_closing_notes, workplace_closing, workplace_closing_flag | tags: bigquery, public-data
[44] Covid19 Italy | pub=Google BigQuery | cols: date, country, region_code, name, province_code, province_name, province_abbreviation, latitude, longitude, location_geom | tags: bigquery, public-data
[45] Covid19 Italy Eu | pub=Google BigQuery | cols: date, country, region_code, name, province_code, province_name, province_abbreviation, latitude, longitude, location_geom | tags: bigquery, public-data
[46] Covid19 Jhu Csse | pub=Google BigQuery | cols: province_or_state, country_or_region, latitude, longitude, location_geom, _1_22_20, _1_23_20, _1_24_20, _1_25_20, _1_26_20 | tags: bigquery, public-data
[47] Covid19 Jhu Csse Eu | pub=Google BigQuery | cols: province_or_state, country_or_region, latitude, longitude, location_geom, _1_22_20, _1_23_20, _1_24_20, _1_25_20, _1_26_20 | tags: bigquery, public-data
[48] Covid19 Nyt | pub=Google BigQuery | cols: country, placename, frequency, start_date, end_date, year, month, week, deaths, expected_deaths | tags: bigquery, public-data
[49] Covid19 Open Data | pub=Google BigQuery | cols: province_state, country_region, date, latitude, longitude, sub_region1_name, location_geom, confirmed, deaths, recovered | tags: bigquery, public-data
[50] Covid19 Open Data Eu | pub=Google BigQuery | cols: province_state, country_region, date, latitude, longitude, sub_region1_name, location_geom, confirmed, deaths, recovered | tags: bigquery, public-data
[51] Covid19 Public Forecasts | pub=Google BigQuery | cols: county_fips_code, county_name, state_name, forecast_date, prediction_date, new_confirmed, cumulative_confirmed, new_confirmed_7day_rolling, new_deaths, cumulative_deaths | tags: bigquery, public-data
[52] Covid19 Public Forecasts Asia Ne1 | pub=Google BigQuery | cols: county_fips_code, county_name, state_name, forecast_date, prediction_date, new_confirmed, cumulative_confirmed, new_confirmed_7day_rolling, new_deaths, cumulative_deaths | tags: bigquery, public-data
[53] Covid19 Rxrx19 | pub=Google BigQuery | cols: site_id, feature_0, feature_1, feature_2, feature_3, feature_4, feature_5, feature_6, feature_7, feature_8 | tags: bigquery, public-data
[54] Covid19 Symptom Search | pub=Google BigQuery | cols: country_region_code, country_region, sub_region_1, sub_region_1_code, sub_region_2, sub_region_2_code, place_id, date, symptom_abdominal_obesity, symptom_abdominal_pain | tags: bigquery, public-data
[55] Covid19 Tracking | pub=Google BigQuery | cols: date, state, location, city_or_county, cases_total, cases_white, cases_black, cases_latinx, cases_asian, cases_aian | tags: bigquery, public-data
[56] Covid19 Usafacts | pub=Google BigQuery | cols: county_fips_code, county_name, state, state_fips_code, _2020_01_22, _2020_01_23, _2020_01_24, _2020_01_25, _2020_01_26, _2020_01_27 | tags: bigquery, public-data
[57] Covid19 Vaccination Access | pub=Google BigQuery | cols: facility_place_id, facility_provider_id, facility_name, facility_latitude, facility_longitude, facility_country_region, facility_country_region_code, facility_sub_region_1, facility_sub_region_1_code, facility_sub_region_2 | tags: bigquery, public-data
[58] Covid19 Vaccination Search Insights | pub=Google BigQuery | cols: date, country_region, country_region_code, sub_region_1, sub_region_1_code, sub_region_2, sub_region_2_code, sub_region_3, sub_region_3_code, place_id | tags: bigquery, public-data
[59] Covid19 Weathersource Com | pub=Google BigQuery | cols: county_fips_code, country, time_initiated_utc, forecast_date, forecast_day_of_year, min_temperature_air_2m_f, avg_temperature_air_2m_f, max_temperature_air_2m_f, min_humidity_relative_2m_pct, avg_humidity_relative_2m_pct | tags: bigquery, public-data
[60] Crypto Aptos Mainnet Us | pub=Google BigQuery | cols: block_hash, block_timestamp, block_unixtimestamp, block_height, blockmetadata_tx_version, round, previous_block_votes_bitvec, proposer, block_height, block_timestamp | tags: bigquery, public-data
[61] Crypto Aptos Testnet Us | pub=Google BigQuery | cols: block_hash, block_timestamp, block_unixtimestamp, block_height, blockmetadata_tx_version, round, previous_block_votes_bitvec, proposer, block_height, block_timestamp | tags: bigquery, public-data
[62] Crypto Band | pub=Google BigQuery | cols: block_height, block_timestamp, block_timestamp_truncated, event_type, block_event_type, attributes, block_height, block_timestamp, block_timestamp_truncated, block_hash | tags: bigquery, public-data
[63] Crypto Bitcoin | pub=Google BigQuery | cols: hash, size, stripped_size, weight, number, version, merkle_root, timestamp, timestamp_month, nonce | tags: bigquery, public-data
[64] Crypto Bitcoin Cash | pub=Google BigQuery | cols: hash, size, stripped_size, weight, number, version, merkle_root, timestamp, timestamp_month, nonce | tags: bigquery, public-data
[65] Crypto Dash | pub=Google BigQuery | cols: hash, size, stripped_size, weight, number, version, merkle_root, timestamp, timestamp_month, nonce | tags: bigquery, public-data
[66] Crypto Dogecoin | pub=Google BigQuery | cols: hash, size, stripped_size, weight, number, version, merkle_root, timestamp, timestamp_month, nonce | tags: bigquery, public-data
[67] Crypto Ethereum | pub=Google BigQuery | cols: address, symbol, name, decimals, address, eth_balance, timestamp, number, hash, parent_hash | tags: bigquery, public-data
[68] Crypto Ethereum Classic | pub=Google BigQuery | cols: address, eth_balance, timestamp, number, hash, parent_hash, nonce, sha3_uncles, logs_bloom, transactions_root | tags: bigquery, public-data
[69] Crypto Iotex | pub=Google BigQuery | cols: version, nonce, gas_limit, gas_price, sender, status, height, hash, timestamp, gas_consumed | tags: bigquery, public-data
[70] crypto_kusama | pub=Google BigQuery | tags: bigquery, public-data
[71] Crypto Litecoin | pub=Google BigQuery | cols: hash, size, stripped_size, weight, number, version, merkle_root, timestamp, timestamp_month, nonce | tags: bigquery, public-data
[72] Crypto Multiversx Mainnet Eu | pub=Google BigQuery | cols: _id, address, userName, balance, balanceNum, nonce, shardID, timestamp, developerRewards, developerRewardsNum | tags: bigquery, public-data
[73] Crypto Near Mainnet Us | pub=Google BigQuery | cols: block_date, block_height, block_timestamp, block_timestamp_utc, block_hash, chunk_hash, index_in_block, affected_account_id, caused_by_transaction_hash, caused_by_receipt_id | tags: bigquery, public-data
[74] crypto_polkadot | pub=Google BigQuery | tags: bigquery, public-data
