[803] 25 - New Sidewalks Built 2019 | pub=City of Seattle | cols: Month, Accumulated number of new equivalent sidewalk blocks built this year
[804] 25 - New Sidewalk Built 2019 Final | pub=City of Seattle | cols: Month, Accumulated number of new equivalent sidewalk blocks built this year
[805] 10 - AMM Miles 2020 Q3 | pub=City of Seattle | cols: Month, Accumulated miles of arterials re-paved by AMM program this year
[806] 19 A - Signal Major Maintenance2018 | pub=City of Seattle | cols: Month, Accumulated number of signal major maintenance occurring in 2018
[807] 30 - Freight Spot Imps Q32019 | pub=City of Seattle | cols: Accumulated number of freight spot improvements built this year, Month
[808] 15 - Stairway Rehab 2020 Q3 | pub=City of Seattle | cols: Accumulated number of major stairways rehabilitated this year, Month
[809] 5 A - Protected Bike Lanes2018 | pub=City of Seattle | cols: Month, Accumulated miles of protected bike lanes built in 2018
[810] 3A - Crosswalks Repainted 2020 Q3 | pub=City of Seattle | cols: Month, Accumulated number of crosswalks re-marked this year
[811] 1 - Safety Corridor Projects 2019 | pub=City of Seattle | cols: Accumulated number of safety corridor projects completed this year, Month
[812] Lane Miles Repaved Crew 2020 Q2 | pub=City of Seattle | cols: Accumulated miles of arterials re-paved by AMM program this year, Month
[813] 11 - Bridge Spot Repairs Q32019 | pub=City of Seattle | cols: Accumulated number of bridge repair requests completed this year, Month
[814] 8 A - Number Of Neighborhood Projects Completed-3 | pub=City of Seattle | cols: Month, Accumulated number of large neighborhood projects completed
[815] 6 - Sidewalks Repaired Q32019 | pub=City of Seattle | cols: Month, Accumulated block equivalents of sidewalk repaired this year
[816] Vision Zero Corridors 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated number of safety corridor projects completed this year
[817] 10 - AMM Miles Paved 2020 Q1 | pub=City of Seattle | cols: Accumulated miles of arterials re-paved by AMM program this year, Month
[818] 19C - Signal Preventive Main 2020 Q1 | pub=City of Seattle | cols: Month, Accumulated number of signal preventative maintenance tasks completed this year
[819] 16C - Trees Removed 2018 | pub=City of Seattle | cols: Month, Accumulated number of trees removed in 2018
[820] 19B - Signal Diagnostic Evaluations 2019 Final | pub=City of Seattle | cols: Month, Accumulated number of signal diagnostic evaluations completed this year
[821] Bridge Spot Repairs 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated number of bridge repair requests completed this year
[822] Lane Miles Paved Crew 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated miles of arterials re-paved by AMM program this year
[823] 9 - Repave with AAC Program Q32019 | pub=City of Seattle | cols: Month, Accumulated miles of arterials re-paved by AAC program this year
[824] 16E - Tree or Vegetation Obstructions Removed 2019 Final | pub=City of Seattle | cols: Month, Accumulated number of tree or vegetation obstructions removed this year
[825] Bike Parking Spaces Added 2020 Q2 | pub=City of Seattle | cols: Accumulated number of new bike parking spaces built this year, Month
[826] 19B - Signal Diagnostic Evaluations Q32019 | pub=City of Seattle | cols: Accumulated number of signal diagnostic evaluations completed this year, Month
[827] 5B - Neighborhood Greenways 2020 Q1 | pub=City of Seattle | cols: Month, Accumulated miles of Neighborhood Greenways built this year
[828] 16B - Trees Pruned Q32019 | pub=City of Seattle | cols: Accumulated number of trees pruned this year, Month
[829] 16D - Landscapes Maintained 2019 | pub=City of Seattle | cols: Month, Accumulated number of landscapes maintained this year
[830] Freight Spot Imps 2020 Q2 | pub=City of Seattle | cols: Accumulated number of freight spot improvements built this year, Month
[831] 16A - Trees Planted Q32019 | pub=City of Seattle | cols: Accumulated number of trees planted this year, Month
[832] 16A - Trees Planted 2019 Final | pub=City of Seattle | cols: Accumulated number of trees planted this year, Month
[833] Transit Spot Imps 2020 Q2 | pub=City of Seattle | cols: Accumulated number of transit spot improvements completed this year, Month
[834] 11 - Bridge Spot Repairs 2020 Q3 | pub=City of Seattle | cols: Accumulated number of bridge repair requests completed this year, Month
[835] 19C - Signal Preventive Maintenance Q32019 | pub=City of Seattle | cols: Month, Accumulated number of signal preventative maintenance tasks completed this year
[836] 4A - New Traffic Signals Q32019 | pub=City of Seattle | cols: Accumulated number of new traffic signals installed this year, Month
[837] 3 - Crosswalk Repainting 2018 | pub=City of Seattle | cols: Month, Accumulated number of crosswalks re-marked in 2018
[838] 1 - Safety Corridor Projects 2019 Final | pub=City of Seattle | cols: Month, Accumulated number of safety corridor projects completed this year
[839] 3A - Crosswalks Re-Painting Frequency Q32019 | pub=City of Seattle | cols: Accumulated number of crosswalks re-marked this year, Month
[840] 19A - Signal Major Maintenance 2019 | pub=City of Seattle | cols: Month, Accumulated number of signal major maintenance occurring this year
