[705] Increase In Traveler Miles On Fair Or Better Pavement Data TM-5 | pub=City of Seattle | cols: % increase in traveller miles on pavement in fair or better condition due to Move Seattle, Month
[706] Logged Strategies | pub=City of Seattle | cols: Date, Number of Entries
[707] 30 - Freight Spot Improvements 2018 | pub=City of Seattle | cols: Accumulated number of freight spot improvements built in 2018, Month
[708] 10B - Repave 65 Targeted Locations 2019 | pub=City of Seattle | cols: Accumulated number of AMM spot repairs this year, Month
[709] 16A - Trees Planted 2019 | pub=City of Seattle | cols: Month, Accumulated number of trees planted this year
[711] 4B - Traffic Signal Improvements 2019 | pub=City of Seattle | cols: Accumulated number of traffic signal spot improvement projects completed this year, Month
[712] 8 D - Number Of Neighborhood Projects Constructed | pub=City of Seattle | cols: Accumulated number of large neighborhood projects constructed , Month
[713] Project Delivery Data (2016 08)-8 | pub=City of Seattle | cols: Month, % of capital projects currently on time and on budget
[714] 10B - Repave 65 Targeted Locations 2018 | pub=City of Seattle | cols: Month, Accumulated number of AMM spot repairs in 2018
[715] 15 - Stairway Rehabilitation2018 | pub=City of Seattle | cols: Accumulated number of major stairways rehabilitated in 2018, Month
[716] 4B - Traffic Signal Improvements | pub=City of Seattle | cols: Accumulated number of traffic signal spot improvement projects completed in 2018, Month
[717] 9 - Repave 180 Miles Of Arterials2018 | pub=City of Seattle | cols: Accumulated miles of arterials re-paved by AAC program in 2018, Month
[718] 4C - Traffic Spot Improvements 2018 | pub=City of Seattle | cols: Accumulated number of traffic spot improvements completed in 2018, Month
[719] 3 B - Arterial Lane Re- Striping 2018 | pub=City of Seattle | cols: Accumulated number of arterial lane miles re-striped in 2018, Month
[720] 16 B - Trees Pruned2018 | pub=City of Seattle | cols: Accumulated number of trees pruned in 2018, Month
[721] 4 E - Regulatory Street Signs Replaced2018 | pub=City of Seattle | cols: Month, Accumulated number of regulatory street signs replaced in 2018
[722] 4 C - Traffic Spot Improvements2018 | pub=City of Seattle | cols: Accumulated number of traffic spot improvements completed in 2018, Month
[723] 27B - Urban Trail and Bikeway Spot Imps 2018 | pub=City of Seattle | cols: Accumulated number of urban trail and bikeway spot improvements completed in 2018, Month
[724] 16 E - Tree Or Vegetation Obstruction Removed2018 | pub=City of Seattle | cols: Month, Accumulated number of tree or vegetation obstructions removed in 2018
[725] 30 - East Marginal Way Corridor Project | pub=City of Seattle | cols: Month, East Marginal Way Corridor project completed
[726] 10B - Repave 65 Targeted Locations 2019 Final | pub=City of Seattle | cols: Month, Accumulated number of AMM spot repairs this year
[727] Signal Preventive Main 2020 Q2 | pub=City of Seattle | cols: Month, Accumulated number of signal preventative maintenance tasks completed this year
[728] 16B - Trees Pruned Q32019-2 | pub=City of Seattle | cols: Accumulated number of trees pruned this year, Month
[729] 4D - Corridors Optimized with Signal Timing 2019 | pub=City of Seattle | cols: Month, Accumulated number of corridors with optimized signal timing this year
[730] 4C - Traffic Spot Improvements 2019 | pub=City of Seattle | cols: Month, Accumulated number of traffic spot improvements completed this year
[731] 16C - Trees Removed 2020 Q1 | pub=City of Seattle | cols: Month, Accumulated number of trees removed this year
[732] 15 Stairway Rehabilitation 2019 Final | pub=City of Seattle | cols: Month, Accumulated number of major stairways rehabilitated this year
