[100] Fec | pub=Google BigQuery | cols: cand_id, cand_name, cand_pty_affiliation, cand_election_yr, cand_office_st, cand_office, cand_office_district, cand_ici, cand_status, cand_pcc | tags: bigquery, public-data
[134] Google Ads Geo Mapping Asia Northeast1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[135] Google Ads Geo Mapping Asia Northeast2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[136] Google Ads Geo Mapping Asia Northeast3 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[137] Google Ads Geo Mapping Asia South1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[138] Google Ads Geo Mapping Asia South2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[139] Google Ads Geo Mapping Asia Southeast1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[140] Google Ads Geo Mapping Asia Southeast2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[141] Google Ads Geo Mapping Australia Southeast1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[142] Google Ads Geo Mapping Australia Southeast2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[143] Google Ads Geo Mapping Eu | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[144] Google Ads Geo Mapping Europe Central2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[145] Google Ads Geo Mapping Europe North1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[146] Google Ads Geo Mapping Europe Southwest1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[147] Google Ads Geo Mapping Europe West1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[148] Google Ads Geo Mapping Europe West12 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[149] Google Ads Geo Mapping Europe West2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[150] Google Ads Geo Mapping Europe West3 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[151] Google Ads Geo Mapping Europe West4 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[152] Google Ads Geo Mapping Europe West6 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[153] Google Ads Geo Mapping Europe West8 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[154] Google Ads Geo Mapping Europe West9 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[155] Google Ads Geo Mapping Me Central1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[156] Google Ads Geo Mapping Me Central2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[157] Google Ads Geo Mapping Me West1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[158] Google Ads Geo Mapping Northamerica Northeast1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[159] Google Ads Geo Mapping Northamerica Northeast2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[160] Google Ads Geo Mapping Southamerica East1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[161] Google Ads Geo Mapping Southamerica West1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[162] Google Ads Geo Mapping Us | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[163] Google Ads Geo Mapping Us Central1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[164] Google Ads Geo Mapping Us Central2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[165] Google Ads Geo Mapping Us East1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[166] Google Ads Geo Mapping Us East4 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[167] Google Ads Geo Mapping Us East5 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[168] Google Ads Geo Mapping Us South1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[169] Google Ads Geo Mapping Us West1 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[170] Google Ads Geo Mapping Us West2 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[171] Google Ads Geo Mapping Us West3 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[172] Google Ads Geo Mapping Us West4 | pub=Google BigQuery | cols: country_iso_3166_1, target_country_region, target_subcontinent, target_continent, ads_criteria_id, target_city, target_region, target_country_region, target_subcontinent, target_continent | tags: bigquery, public-data
[173] Google Ads Transparency Center | pub=Google BigQuery | cols: advertiser_id, creative_id, creative_page_url, ad_format_type, advertiser_disclosed_name, advertiser_legal_name, advertiser_location, advertiser_verification_status, region_stats, audience_selection_approach_info | tags: bigquery, public-data
[174] Google Analytics Sample | pub=Google BigQuery | cols: visit_date, total_visits, visit_date, total_visits, visitorId, visitNumber, visitId, visitStartTime, date, totals | tags: bigquery, public-data
[175] Google Books Ngrams 2020 | pub=Google BigQuery | cols: term, term_frequency, document_frequency, tokens, has_tag, years, term, term_frequency, document_frequency, tokens | tags: bigquery, public-data
[176] Google Cfe | pub=Google BigQuery | cols: year, cfe_region, zone_id, cloud_region, location, google_cfe, grid_carbon_intensity | tags: bigquery, public-data
[177] Google Cloud Release Notes | pub=Google BigQuery | cols: description, release_note_type, published_at, product_id, product_name, product_version_name | tags: bigquery, public-data
[178] Google Dei | pub=Google BigQuery | cols: workforce, report_year, gender_us, race_asian, race_black, race_hispanic_latinx, race_native_american, race_white, workforce, report_year | tags: bigquery, public-data
[179] Google Patents Research | pub=Google BigQuery | cols: publication_number, ocid, preferred_name, domain, source, confidence, character_offset_start, character_offset_end, inchi, inchi_key | tags: bigquery, public-data
