[605] 9-1-1 Data-3 | pub=City of Seattle | desc: Correctly formatted 9-1-1 survey data. | cols: Score, Date
[606] 2 - Safe Routes To School Projects-3 | pub=City of Seattle | cols: Accumulated number of Safe Routes to School projects completed, Month
[607] Outdated - WMBE Purchasing Data | pub=City of Seattle | cols: Department Purchasing WMBE Goal %, Department, Department Purchasing Spend Volume, Citywide Purchasing Spend Volume, Citywide Purchasing WMBE Goal %, Department Purchasing WMBE Actual %, Department Remaining % to Reach Goal, Current as of
[608] 11 - Bridge Spot Repairs | pub=City of Seattle | cols: Accumulated number of bridge repair requests completed, Month
[609] 2 - New Sidewalks Built (2017) | pub=City of Seattle | cols: Accumulated number of new sidewalk blocks built in 2017, Month
[610] 4 B - Traffic Signal Spot Improvements | pub=City of Seattle | cols: Month, Accumulated number of traffic signal spot improvement projects completed
[611] Project Delivery Data (2016 08)-7 | pub=City of Seattle | cols: Month, % of capital projects currently on time and on budget
[612] 9 - Repave 180 Miles Of Arterials-3 | pub=City of Seattle | cols: Month, Accumulated miles of arterials re-paved by AAC program
[613] Bridge Seismic Retrofits % | pub=City of Seattle | cols: % of high priority bridges that have undergone seismic retrofitting with Move Seattle funding, Month
[614] Accumulated Neighborhood Project Spending By Year-3 | pub=City of Seattle | cols: Accumulated Move Seattle dollars spent on neighborhood-selected projects ($M), Year
[615] 11 - Bridge Spot Repairs2018 | pub=City of Seattle | cols: Month, Accumulated number of bridge repair requests completed in 2018
[616] Greenways-2 | pub=City of Seattle | cols: Month, Accumulated miles of Greenways built
[617] Rapid Ride 2016 July C Line | pub=City of Seattle | cols: Month, RapidRide C Line Headway Adherence
[618] Construction Permits Wait Times 2016 09 | pub=City of Seattle | cols: Month, Avg. Monthly Construction Permit Wait Time (Minutes)
[619] Bridge Seismic Retrofits #-2 | pub=City of Seattle | cols: Accumulated number of vulnerable bridges seismically retrofitted with Move Seattle dollars, Month
[620] 3 - Transit Spot Improvements (2016 Final) | pub=City of Seattle | cols: Month, Accumulated number of constructed transit spot improvements
[621] 6 - Sidewalks Repaired | pub=City of Seattle | cols: Month, Accumulated blocks of sidewalk repaired
[622] Ratio Of Trees Planted To Trees Removed | pub=City of Seattle | cols: Month, Trees Removed, Trees Planted, Ratio of Trees Planted to Trees Removed
[623] Safe Routes To School Projects (9-year) | pub=City of Seattle | cols: Month, Accumulated number of Safe Routes to School projects (2016-2024)
[624] Greenways Built | pub=City of Seattle | cols: Accumulated miles of protected bike lanes installed in 2016, Month
[625] Signal Diagnostic Evaluations-2 | pub=City of Seattle | cols: Month, Accumulated number of signal diagnostic evaluations
[626] Bridge Repairs-2 | pub=City of Seattle | cols: Accumulated number of bridge repair requests completed, Month
[627] 3 B - Arterial Lane Re- Striping-3 | pub=City of Seattle | cols: Accumulated number of arterial lane miles re-striped, Month
[628] 10 A - Repave 70 Miles Of Spot Improvements2018 | pub=City of Seattle | cols: Accumulated miles of arterials re-paved by AMM program in 2018, Month
[629] Transit Spot Improvements-2 | pub=City of Seattle | cols: Accumulated number of constructed transit spot improvements, Month
[630] 2 A - New Sidewalks Built (2017) | pub=City of Seattle | cols: Accumulated number of new sidewalk blocks built in 2017, Month
[631] 2017 SOACRATA Estimated Daily Attendance As Of 12-31-17 | pub=City of Seattle | cols: Date, Total Estimated Daily Attendance
[632] Signal Major Maintenance-2 | pub=City of Seattle | cols: Accumulated number of signals undergoing major maintenance, Month
[633] 2014-2016 Find It Fix It Total Reports Plus Pilot | pub=City of Seattle | cols: Non Pilot, Week Beginning, Pilot
[634] Signal Major Maintenance | pub=City of Seattle | cols: Accumulated number of Signal Major Maintenance Performed in 2016, Month
[635] 27A - New Bike Parking Spaces 2020 Q1 | pub=City of Seattle | cols: Accumulated number of new bike parking spaces built this year, Month
[636] Rapid Ride 2016 July D Line | pub=City of Seattle | cols: Month, RapidRide D Line Headway Adherence
[637] Safe Routes To School Projects (2016)-2 | pub=City of Seattle | cols: Month, Accumulated number of Bicycle Parking Spaces Installed in 2016
[638] 25 - Accessibly Mount Baker Project | pub=City of Seattle | cols: Month, Accessible Mount Baker project completed
[639] Freight Spot Improvements-2 | pub=City of Seattle | cols: Month, Accumulated number of freight spot improvements
[640] Project Delivery Data (2016 06) | pub=City of Seattle | cols: Month, % of capital projects currently on time and on budget
[641] Q2 2016 Initial Update For Electric Vehicle Usage Goal Final-3 | pub=City of Seattle | cols: % , Date, Quarter
[642] 5 B - Neighborhood Greenways | pub=City of Seattle | cols: Month, Accumulated miles of Neighborhood Greenways built
[643] Pothole Repair Efficiency 2016 August Data TM-2 | pub=City of Seattle | cols: % of Potholes Repaired within 3 Business Days, Month
[644] 10 A - Repave 70 Miles Of Spot Improvements | pub=City of Seattle | cols: Accumulated miles of arterials re-paved by AMM program, Month
[645] Project Delivery Data (2016 08)2 | pub=City of Seattle | cols: Month, % of capital projects currently on time and on budget
[646] 2017 Quarterly Visitors Data As Of 12-31-17 | pub=City of Seattle | cols: Estimated Attendance, Date
[647] Housing Levy - Foreclosure Prevention Loans | pub=City of Seattle | cols: Year, Foreclosure prevention loans completed
[648] 8 A - Number Of Neighborhood Projects Completed | pub=City of Seattle | cols: Accumulated number of large neighborhood projects completed, Month
[649] Signals Built | pub=City of Seattle | cols: Accumulated number of signals built in 2016, Month
